dept_name,emp_no,first_name,last_name,gender,birth_date,"years of service","Salaries in 2000"
Production,10130,Nishit,Casperson,M,1955-04-27,12.5370,63920
Production,10134,Diederik,Siprelle,M,1953-04-15,13.0630,122404
Production,10135,Nathan,Monkewich,M,1956-12-23,12.8740,55759
"Quality Management",10138,Perry,Shimshoni,M,1955-04-24,14.2959,69941
Development,10145,Akemi,Esposito,F,1956-03-30,13.4274,47612
Development,10150,Zhenbing,Perng,F,1955-01-29,14.1342,97030
"Customer Service",10154,Abdulah,Thibadeau,F,1957-01-17,10.0603,43213
Development,10157,Nigel,Aloisi,M,1954-04-23,15.1726,53212
"Quality Management",10159,Serif,Buescher,M,1955-03-03,9.6000,53220
Sales,10160,Debatosh,Khasidashvili,M,1953-10-18,11.9260,97152
"Human Resources",10163,Karsten,Szmurlo,M,1952-09-17,11.4603,59126
Production,10164,Jagoda,Braunmuhl,M,1956-01-19,15.1452,134492
Finance,10180,Shaw,Wendorf,M,1956-01-29,14.8575,64447
Production,10188,Christ,Muchinsky,F,1956-07-13,13.3562,80614
Finance,10194,Josyula,Hofmeyr,F,1954-01-29,11.6384,71992
Development,10198,Pranav,Furedi,M,1953-05-28,15.3452,67920
Development,10201,Idoia,Kavraki,F,1956-12-15,14.1178,53099
Development,10202,Greger,Lichtner,M,1956-01-05,9.2438,68804
Research,10203,Steen,Escriba,M,1955-07-27,11.7452,57028
Finance,10209,Yolla,Ellozy,F,1956-12-12,9.1123,141134
Sales,10215,Xiaobin,Duclos,M,1954-04-02,13.2110,55295
Production,10221,Yucai,Granlund,M,1957-01-03,12.5726,145612
Production,10224,Leon,Trogemann,M,1954-05-17,12.9863,58655
Marketing,10228,Karoline,Cesareni,F,1953-04-21,9.3562,177468
"Quality Management",10229,Ulises,Takanami,M,1952-02-10,13.1178,133386
"Human Resources",10233,Lein,Vendrig,F,1954-04-01,15.5014,47038
Sales,10237,Yannis,Mandell,F,1952-09-22,11.3973,125947
Sales,10248,Frederique,Tempesti,F,1955-09-24,9.3918,77412
Development,10249,Marie,Boreale,M,1954-06-10,9.0712,168582
Development,10258,Basil,Ishibashi,F,1955-12-12,15.6356,105128
Finance,10272,Yishai,Cannane,M,1954-11-30,12.6164,61158
Production,10282,Hercules,Benzmuller,M,1953-11-27,14.5863,41613
Development,10283,Kauko,Birjandi,M,1953-07-08,12.6110,58210
Development,10289,Shay,Poulakidas,M,1956-11-30,10.5781,49054
Finance,10295,Kristine,Velardi,M,1953-01-13,10.3534,51375
Production,10297,Narain,Oaver,F,1956-06-17,14.6055,96169
Production,10307,Nikolaos,Leaver,M,1955-07-20,9.7342,80000
Development,10315,Maris,Angelopoulos,M,1956-08-03,13.3534,84733
Sales,10320,Uinam,Stasinski,F,1956-06-22,12.1671,89956
Development,10322,Isamu,Dahlbom,F,1954-05-28,10.9288,66027
"Human Resources",10325,Arunachalam,Badr,M,1953-01-12,10.2877,63067
Research,10326,Masali,Czap,F,1953-02-13,15.6466,43678
Sales,10330,Kasturi,Bellmore,M,1957-02-02,15.5644,97680
Marketing,10340,Djelloul,Laventhal,M,1952-08-20,13.5836,89626
Research,10347,Pradeep,Kaminger,M,1953-10-03,15.0630,44922
"Customer Service",10349,Oksana,Brodie,F,1954-04-29,9.2658,61668
Marketing,10353,Phule,Hammerschmidt,M,1953-01-15,11.3616,84163
Sales,10355,Satyanarayana,Cochrane,M,1952-12-10,13.1370,75953
Research,10356,Vasilis,Standera,M,1952-08-12,12.4110,55468
Development,10358,Qunsheng,Tagansky,M,1953-04-08,9.8712,82298
Production,10364,Nakhoon,Dengi,M,1954-09-21,15.1397,89026
Marketing,10367,Hyuckchul,Gini,M,1955-12-24,9.5288,80944
Production,10368,Hatim,Koshiba,M,1956-03-25,9.7479,52703
Sales,10369,Qunsheng,Toyoshima,M,1957-01-08,14.6356,51631
Production,10372,Anneli,Frijda,F,1952-04-08,15.4329,82884
Production,10377,Marl,Grospietsch,M,1954-08-19,10.6603,46468
Sales,10380,Alejandro,Kamble,F,1956-05-25,15.7973,99675
Production,10382,Shirish,Dredge,M,1955-06-12,10.5014,204884
Marketing,10384,Feiyu,Luft,M,1956-08-22,14.9671,72868
Development,10386,Eishiro,Miyakawa,F,1956-11-09,15.4247,78480
"Customer Service",10387,Parto,Wrigley,F,1952-11-03,13.8740,66524
Development,10391,Hongzue,Akaboshi,M,1956-06-13,11.0274,67555
Development,10395,Takahiro,Deverell,M,1952-02-17,13.9151,43439
Development,10396,Sibyl,Rahier,M,1955-08-21,14.9808,61512
"Quality Management",10402,Volkmar,Ebeling,M,1953-07-23,14.0055,64180
Finance,10403,Atreyi,Mungall,F,1956-04-01,9.3068,201052
Development,10404,Prodip,Rosti,F,1955-04-27,12.3507,83435
"Quality Management",10405,Hilary,Budinsky,F,1957-01-20,15.1671,91598
"Quality Management",10406,Sigeru,Wynblatt,F,1956-09-21,13.8192,46480
Sales,10407,Ulf,Siepmann,M,1955-07-05,10.8247,62565
Sales,10411,Lidong,Klerer,F,1956-07-10,11.3370,91866
"Human Resources",10413,Danel,Impagliazzo,F,1952-05-05,10.7753,56304
Finance,10416,Uli,Keustermans,M,1956-05-26,11.7808,89080
Marketing,10418,Candida,Porotnikoff,F,1952-06-29,11.7068,54670
Production,10422,Greger,Rubsam,F,1954-06-02,10.0740,108718
Development,10426,Arunas,Luce,F,1955-12-28,15.4986,92921
Development,10429,Martien,Improta,F,1952-02-13,14.8247,62876
"Customer Service",10432,Hisao,Tiemann,F,1953-11-06,15.6822,61550
"Quality Management",10433,Reuven,Dengi,M,1954-09-02,11.8849,61620
Sales,10442,Volkmar,Unno,M,1955-09-09,12.8110,59117
Development,10443,Shichao,Litvinov,F,1952-12-03,11.4247,67516
Development,10445,Junichi,Kavanagh,F,1957-01-10,13.1671,76392
Production,10451,Bodh,Ranta,F,1952-10-06,12.8137,65646
Development,10452,Werner,Hasham,M,1956-11-24,12.3288,51142
"Customer Service",10453,Tsvetan,Matzel,F,1953-07-19,15.7589,72860
Sales,10461,Gal,Karcich,M,1956-10-26,13.4219,97419
Sales,10463,Ung,Zaiane,M,1954-05-20,13.0274,78123
"Customer Service",10466,Jiakeng,Himler,M,1954-12-25,15.2658,56978
Production,10470,Peternela,Iwayama,M,1956-04-12,12.5918,60872
Development,10477,Guoxiang,Trogemann,F,1952-12-07,11.8356,60124
"Quality Management",10486,Amstein,Kossowski,F,1952-08-24,13.2411,95845
Production,10494,Yakkov,Servieres,F,1953-12-21,14.9616,63785
Marketing,10499,Maik,Luft,F,1953-10-04,11.1123,92292
Production,10503,Dannz,Pell,M,1952-05-17,9.6795,45292
Sales,10504,Xiong,Varker,M,1953-04-07,12.0849,43931
Sales,10509,Abdelwaheb,Riesenhuber,F,1953-10-03,10.8603,59418
"Human Resources",10512,Udi,Gihr,M,1955-11-16,14.9781,64515
Sales,10517,Tiina,Speek,M,1953-06-18,10.0247,81445
Development,10519,Yonghoan,Alencar,F,1955-12-28,14.7890,104926
"Human Resources",10522,Marke,Cesareni,F,1955-07-24,14.0630,68417
Production,10523,Malu,Skafidas,M,1956-05-16,12.0164,57526
Development,10530,Boriana,Coors,F,1956-07-19,13.2822,94180
"Human Resources",10531,Oguz,Gimbel,F,1954-06-11,9.8685,58639
Development,10542,Yannis,Couchot,F,1955-01-05,11.7699,51648
Marketing,10548,Ramalingam,Gunderson,M,1952-06-12,14.6712,238938
Sales,10559,Arumugam,Comellas,F,1956-01-18,12.9945,90120
Production,10564,Jianhao,Thisen,M,1955-04-14,14.6603,56005
Sales,10568,Gao,Poulakidas,F,1953-12-02,11.8849,73009
Production,10575,Theirry,Yeung,M,1954-06-29,12.2493,114107
"Customer Service",10580,Christoper,Rehfuss,M,1956-05-28,13.3151,52853
Production,10581,Odinaldo,Prochazka,F,1956-11-20,12.9014,54119
Production,10588,Shigeo,Dulay,F,1956-07-30,13.9342,58392
Production,10593,Falguni,Kenevan,M,1952-07-24,10.3096,161594
Development,10599,Seshu,Crelier,F,1956-10-15,11.8000,70009
"Quality Management",10605,Moti,Wixon,F,1956-05-21,15.6849,49475
Production,10614,Gila,Ozeri,F,1953-07-11,10.8384,128642
"Customer Service",10617,Hidekazu,Angel,F,1955-01-26,15.7699,47799
Development,10623,Aleksander,Danlos,F,1953-07-11,13.8301,154084
Production,10624,Sham,Gyorkos,F,1955-12-19,10.6603,54230
Development,10628,Krisda,Krogh,M,1954-04-18,15.3151,74736
Sales,10629,Lalit,Francisci,F,1954-03-23,14.9288,87045
Development,10631,Inderjeet,Chaudhuri,M,1955-05-17,12.8822,56318
Development,10634,Nahid,Chepyzhov,M,1954-08-01,10.1452,125270
Development,10642,Hirochika,Narlikar,M,1955-12-19,14.4137,44222
Development,10653,Otmar,Feinberg,M,1953-06-16,13.6822,68606
Development,10659,Dinah,Shackel,F,1956-12-09,9.2877,46114
Marketing,10661,Ottavia,Giarratana,F,1956-04-07,12.9781,63871
"Customer Service",10667,Makato,Cusworth,F,1955-08-05,10.5260,40000
"Human Resources",10671,Parviz,Rebaine,M,1953-06-12,13.9890,76979
Development,10676,Valeri,Danley,F,1953-08-26,14.7945,58226
"Human Resources",10679,Neven,Brender,M,1956-09-25,10.6438,54255
"Customer Service",10682,Bedir,Haumacher,M,1956-07-04,10.1507,57223
"Customer Service",10693,Berhard,Daescu,F,1953-12-14,14.9890,57922
Marketing,10694,Rildo,Straney,M,1955-12-16,12.9397,70963
Development,10696,Unal,Fendler,M,1952-03-23,9.3178,75749
Development,10702,Bader,Szemeredi,M,1952-11-25,15.4521,67969
"Human Resources",10717,Serap,Tasistro,M,1956-01-27,13.5233,71148
Development,10718,Adib,Rullman,M,1955-12-19,12.4548,94966
Production,10720,Odinaldo,Kruskal,M,1956-06-17,15.4274,108752
Development,10726,Zita,Minakawa,F,1954-01-11,15.3425,52957
Finance,10731,Fumitaka,Peak,M,1952-11-17,13.8712,195765
Production,10734,Sachar,Erdi,M,1954-07-06,15.7562,58321
Marketing,10741,Sven,Huttel,F,1954-01-02,11.9918,78337
Development,10742,Shim,Wiegley,M,1955-03-13,10.0000,72232
Production,10745,Poorav,Ranze,F,1953-10-23,13.6110,65081
Production,10749,King,Brendel,M,1955-08-21,15.2740,93542
Development,10750,Roddy,Demeyer,F,1953-06-14,9.4164,39925
Development,10751,Jordanka,Ushiama,M,1952-12-02,13.7233,50052
Sales,10754,Chenyi,Feinberg,M,1956-09-08,12.9808,85363
Production,10759,JiYoung,Chenney,M,1956-04-12,9.0822,54156
Development,10764,Yunming,Beetstra,F,1953-01-12,11.1014,93899
Sales,10767,Monique,Doering,F,1954-02-28,13.5507,41990
Production,10768,Ishfaq,Candan,M,1955-06-24,15.5041,96292
Development,10772,Munehiro,Dayana,M,1956-01-21,13.5178,54403
Production,10775,Xiaoheng,Sluis,M,1956-03-12,12.0685,105390
Production,10777,Mizuhito,Kemmerer,F,1955-08-11,12.4986,46081
Marketing,10778,Selwyn,Merey,M,1953-03-13,14.5041,95054
Research,10782,Kish,Perna,F,1952-09-18,9.2027,46789
Development,10784,Weijing,Bottner,F,1957-01-27,13.6493,45323
Development,10791,Tadahiko,Sgarro,M,1954-05-27,12.4301,66041
Sales,10795,Supot,Naudin,M,1954-12-14,15.6247,93739
Production,10797,Goetz,Hiyoshi,F,1956-10-04,12.3699,126916
"Quality Management",10803,Katsuyuki,Velasco,F,1952-09-15,12.7068,78052
Development,10808,Chenxi,Leijenhorst,M,1955-09-11,13.8301,64814
Sales,10813,Shalesh,Shumilov,M,1954-07-04,10.6877,79045
Marketing,10820,Baocai,Pena,F,1956-11-12,14.8630,84483
Development,10822,Masaru,Passino,F,1956-08-02,14.9808,71714
Marketing,10830,Fen,Fiebach,M,1954-08-17,9.3616,63309
"Quality Management",10833,Krisda,Gecseg,F,1953-04-12,11.9014,42704
Production,10834,Huiqun,Rajcani,M,1954-12-16,10.1096,64718
Production,10835,Tomoyuki,Kermarrec,M,1952-11-23,15.4384,49094
Sales,10836,Jianhua,Leivant,F,1953-07-15,15.4438,189804
Sales,10837,Chuanti,Karlin,M,1957-02-06,14.9726,101702
Development,10844,Dipayan,Koprowski,M,1954-02-03,13.8411,47946
Research,10847,Theirry,Danley,M,1952-03-04,14.4466,57353
Production,10848,Fen,Bratsberg,F,1954-07-16,15.7096,81279
Sales,10862,Zhenbing,Kadhim,F,1956-01-19,15.4521,99974
Production,10867,Billur,Gyorkos,M,1952-10-01,14.2411,44054
Production,10870,Shahid,Leppanen,F,1956-07-23,12.9753,87343
"Customer Service",10871,Aram,Gilg,M,1952-10-24,11.8822,40000
Finance,10872,Karoline,Speel,F,1952-02-21,10.3260,61261
Sales,10878,Lakshmi,Deville,M,1952-06-13,12.8575,78595
Development,10879,Muzhong,Chleq,F,1953-08-18,15.3890,89746
Production,10883,Shimshon,Champarnaud,M,1952-07-30,13.1589,45918
Marketing,10885,Rayond,Cronau,M,1953-05-06,9.3753,187580
Development,10887,Lunjin,DeMori,M,1953-01-16,11.8027,91884
Sales,10889,Cheong,Coors,F,1956-06-21,13.4000,84713
Development,10909,Georgi,Atchley,M,1954-11-11,15.7068,95632
Development,10917,Tesuya,Slaats,F,1956-05-10,13.0877,88943
"Human Resources",10920,Ronghao,Narahara,M,1955-04-08,9.4877,54422
Production,10921,Mara,Bahi,F,1955-07-20,14.4411,92694
Sales,10924,Hironoby,Atchley,F,1954-04-27,12.3890,104403
Production,10926,Leni,Eppinger,F,1954-10-13,10.6795,125568
Marketing,10927,Gal,Scallan,M,1953-03-13,15.1918,69328
Production,10930,Arch,Minakawa,M,1954-01-13,10.4027,65346
"Human Resources",10936,Mountaz,Schicker,F,1953-04-08,13.1890,57386
Development,10942,Toshimitsu,Larfeldt,F,1952-08-08,11.3205,45294
Development,10943,Berna,Skafidas,M,1955-11-19,12.8740,56414
Production,10944,Remko,Zyda,M,1952-05-25,9.6137,50423
Finance,10949,Shigeichiro,Wroclawski,F,1953-08-14,10.8110,68323
Sales,10953,Jahangir,Laventhal,F,1956-06-23,13.8932,92996
Sales,10962,Naraig,Kugler,F,1956-08-23,14.0521,100181
Sales,10965,Eckart,Braunschweig,M,1955-07-10,14.4356,88651
Development,10969,Premal,Noriega,M,1954-09-05,12.3671,44771
Development,10974,Muneo,Papsdorf,M,1952-03-07,15.1096,56005
Sales,10981,Sugwoo,Dulin,F,1956-07-22,12.0000,91574
Development,10986,Masako,Schiper,M,1954-08-11,15.2329,67664
Development,10988,Chinya,Deyuan,M,1955-06-24,15.5452,82704
Finance,10989,Sumali,Candan,F,1954-09-08,15.4603,64043
Development,10990,Shin,Foote,M,1954-10-22,12.4959,60363
Sales,10996,Matk,Rahimi,F,1955-02-01,10.9041,59881
Development,11001,Baziley,Buchter,F,1956-04-16,13.8630,72796
Sales,11009,Alper,Axelband,F,1954-08-30,14.3205,96848
Marketing,11012,Taegyun,Speckmann,F,1953-09-12,14.0192,152664
Development,11019,Leon,Huttel,M,1954-09-06,15.9151,78443
Research,11021,Srinidhi,Henders,F,1954-07-13,15.6164,64500
Production,11027,Remzi,Cappello,M,1955-12-13,14.6630,67663
Marketing,11031,Ottavia,Walstra,M,1954-12-20,15.6932,102223
Production,11037,Lansing,Maliniak,M,1952-05-22,12.9342,65377
Research,11038,Jinya,Beidas,M,1955-10-13,15.4740,79669
Development,11042,Gou,Breugel,F,1955-07-13,12.5233,51813
Sales,11048,Jaques,Demke,M,1952-10-26,15.8548,65697
Marketing,11050,Elvis,Katiyar,M,1952-09-23,14.6658,79832
Production,11051,Przemyslawa,Erol,F,1952-10-06,15.4055,54745
Production,11062,Shay,Rettelbach,F,1956-11-07,10.2110,64072
Production,11064,Shawna,Vieri,F,1952-08-10,10.8466,67849
Research,11068,Honglan,Harnett,F,1956-03-03,11.5151,59920
"Quality Management",11070,Adib,Raney,M,1952-06-30,15.4493,69473
"Quality Management",11080,Sanjai,Puppe,M,1956-12-27,12.5014,69099
Finance,11081,Barry,Boyle,M,1952-06-20,15.5507,102237
Finance,11083,Shimshon,Ducloy,M,1954-07-09,11.1014,198272
Production,11084,Greger,Senzako,M,1955-07-03,10.5945,73630
Production,11085,Hailing,Thummel,M,1953-09-08,14.1041,73034
Development,11088,Sadun,Hennings,M,1956-11-14,11.3589,52097
Development,11098,Arnd,Covnot,F,1953-09-11,10.7562,44690
Research,11100,Berna,Cochrane,M,1955-10-14,14.2274,64447
Production,11105,Holgard,McAlpine,M,1956-12-17,10.9726,84045
Development,11106,Aris,Iwayama,F,1955-02-23,15.3452,101548
"Customer Service",11112,Boaz,Mukaidono,M,1954-08-05,13.3753,43455
Marketing,11113,Shahab,Peng,F,1953-04-28,15.0959,103782
Development,11121,Vugranam,Kakkad,F,1953-02-13,13.8685,55577
Marketing,11123,Herb,Cooley,F,1956-10-21,12.7699,101651
Production,11127,Mayumi,Pashtan,M,1956-08-26,9.8137,45200
Production,11128,Shunichi,Pusterhofer,F,1956-06-16,12.2493,83575
"Quality Management",11133,Nalini,Azulay,M,1955-12-13,12.9151,49506
"Quality Management",11134,Sachar,Rajcani,F,1954-05-15,12.6082,71254
Development,11137,Hugh,Luca,M,1955-03-17,14.4301,51236
Development,11138,Adel,Matteis,M,1956-11-12,14.2027,107846
"Customer Service",11139,Bogdan,Homond,F,1955-10-13,15.0301,77950
Sales,11146,Ishfaq,Masand,F,1954-06-25,12.7890,113800
Finance,11148,Zhanqiu,Botman,F,1953-01-23,15.4986,147144
Sales,11150,Geraldo,Garigliano,F,1956-05-13,11.6767,104084
Finance,11153,Honglan,Simmen,M,1957-02-01,10.8877,46939
Production,11161,Ung,Ashish,M,1957-01-30,12.5945,66702
Development,11162,Kauko,Narlikar,F,1953-03-25,15.7726,100362
Production,11167,Morris,Zschoche,F,1957-01-04,11.6603,51515
Development,11170,Minghong,Cannard,M,1952-05-05,11.0137,64151
Development,11180,Mitsuyuki,Bojadziev,F,1952-11-07,14.5671,64104
Production,11188,Kazuyasu,Kushner,F,1956-03-13,13.7014,96780
Sales,11189,Dante,Bodoff,F,1953-03-07,9.3233,90953
"Quality Management",11192,Apostol,Bahr,M,1952-09-06,9.2603,43141
Sales,11197,Tadahiro,Fordan,M,1955-05-11,14.7288,101285
Production,11204,Diederik,Covnot,M,1955-12-15,15.2959,70483
Development,11207,Saeed,Gips,F,1955-08-14,13.1534,49728
Production,11208,Saniya,Valtorta,F,1952-05-29,12.3562,90264
Production,11211,Yurij,Rissland,M,1952-12-11,15.2986,96272
Production,11217,Kellie,Mawatari,M,1954-07-01,13.2849,55157
Development,11219,Youpyo,Heuter,M,1956-05-20,9.9863,120788
Sales,11222,Yishai,Neimat,M,1956-09-01,12.1452,76445
"Human Resources",11227,Dayanand,Figueira,M,1956-01-31,15.8274,66452
Production,11228,Utz,Puoti,F,1956-12-26,13.7973,56976
Production,11229,Gretta,Ramamoorthy,M,1953-10-20,9.4411,137676
"Customer Service",11232,Hidefumi,Crelier,M,1955-09-03,12.9205,59395
Development,11233,Sanjit,Waschkowski,F,1952-05-08,9.5479,63454
Development,11240,Kiam,Condotta,M,1955-08-12,12.1452,89216
Development,11249,Randi,Cyre,M,1954-10-01,15.3507,77443
Marketing,11251,Bezalel,Chinal,M,1955-10-16,15.1068,94102
"Customer Service",11258,Aris,Maccarone,F,1953-10-12,9.7699,58450
Development,11267,Shaunak,Zaumen,M,1955-10-18,11.5562,144712
Production,11268,Aimee,Petersohn,F,1954-05-14,15.6356,64631
"Customer Service",11274,Masanao,Nicolson,F,1954-09-08,11.2384,40000
Development,11275,Hitomi,Eppinger,F,1955-10-18,13.6110,82893
"Customer Service",11278,Sumali,Juneja,M,1956-12-15,14.7041,68875
Development,11289,Chuanti,Cherinka,M,1953-03-20,11.8630,59380
Development,11290,Visit,Dredge,M,1953-05-07,15.3233,65034
Development,11291,Gino,Glowinski,M,1953-11-01,15.2082,77533
Development,11292,Souichi,Sichman,F,1953-05-18,11.8932,59866
Development,11294,Tru,Segond,F,1954-06-11,11.5589,61771
Finance,11295,Abdelkader,Lanzelotte,M,1953-02-03,15.6411,99795
Production,11296,Hironobu,Kenevan,M,1954-12-24,11.2712,54292
Production,11298,Jiong,Alvarado,M,1956-08-08,9.0575,183924
"Human Resources",11301,Mingzeng,Oxenboll,F,1953-08-19,11.6164,56012
Development,11317,Shigeaki,Hagimont,F,1954-07-24,11.0356,97932
Development,11319,Pranas,Marrakchi,F,1955-06-05,14.2548,41297
Marketing,11320,Atilio,McAlpine,M,1954-04-13,13.1123,64249
"Quality Management",11322,Nathalie,Pocchiola,F,1952-07-19,15.9041,55330
Production,11324,Kauko,Billingsley,F,1953-11-16,15.3507,88835
Development,11326,Munenori,Plesums,F,1952-09-15,10.8712,53978
Sales,11329,Limsoon,McConalogue,F,1956-03-01,13.6767,86183
Development,11332,Gunilla,Coney,M,1956-02-26,11.2685,58668
Sales,11338,Kwangsub,Hanratty,M,1954-11-03,13.7260,84451
Production,11339,Flemming,Massonet,M,1954-06-05,13.6575,62039
Production,11340,Aris,Bala,M,1952-12-04,9.3123,63231
Development,11343,Susanne,Erez,M,1954-09-10,11.8493,54660
Sales,11344,Paddy,Gulak,M,1956-01-31,10.6521,135698
Development,11347,Anneli,Jonsson,M,1954-12-27,14.7096,67867
Development,11350,Zito,Moehrke,M,1956-10-22,15.4575,62451
Sales,11360,Fen,Schach,M,1953-05-24,11.9753,79259
Production,11365,Toshimi,Shinomoto,M,1953-11-17,12.7562,58889
Development,11370,Marek,Erie,M,1956-12-21,11.3671,59142
Development,11371,Tadahiko,Masamoto,M,1956-05-17,12.0247,74966
"Customer Service",11373,Yongmao,Keohane,F,1953-07-29,11.1836,66103
Research,11376,Valery,Suomi,M,1952-03-10,14.8110,68697
Development,11380,Kenroku,Pelc,M,1952-04-23,12.8384,63289
Production,11385,Shiv,Ullian,M,1952-03-04,12.6192,40000
"Quality Management",11386,Alselm,Assaf,F,1954-09-27,13.0959,75618
Production,11393,Junsik,Junot,M,1954-05-17,15.6822,67480
Finance,11398,Oscar,Peir,M,1953-05-30,14.3671,54687
Development,11404,Bedrich,Borovoy,M,1954-09-15,13.8329,56925
Research,11406,Eberhardt,Gini,F,1955-04-11,11.8110,100817
Production,11415,Sanjiv,Anido,M,1953-10-29,13.8411,47157
"Quality Management",11417,Anneli,Cyne,M,1954-11-20,10.6384,89636
Marketing,11418,Satosi,Cooley,F,1954-03-21,9.4384,98362
Production,11421,Josyula,Msuda,F,1953-11-07,14.3397,76947
Finance,11422,Thanasis,Ghalwash,F,1956-06-03,10.0822,64343
Development,11425,Renee,Crelier,M,1955-11-20,10.3534,57464
"Human Resources",11431,Youngkon,Picht,M,1954-08-05,15.3014,71182
"Customer Service",11437,Supot,Vidya,M,1956-07-18,9.3945,57674
Sales,11441,Marlo,Aingworth,M,1954-11-16,13.7753,78649
"Quality Management",11442,Leucio,Rindone,F,1956-05-01,13.5370,63085
Development,11446,Naftali,Narahara,M,1954-06-20,11.8986,97592
Production,11449,Kotesh,Asser,M,1955-03-30,14.3562,73441
Production,11451,Eben,Rajaraman,M,1955-05-05,10.6247,85060
"Human Resources",11459,Duke,Suomi,M,1953-10-14,14.6740,65400
Development,11465,Tomoyuki,Porenta,M,1956-08-21,15.4767,141584
Production,11469,Guttorm,Giaccio,M,1952-12-01,12.6164,50114
Production,11474,Gennady,Akazan,M,1953-04-17,10.4411,139404
Marketing,11501,Karsten,Ranum,F,1952-03-26,12.0548,65500
Sales,11506,Rance,Picel,F,1955-06-16,14.5123,97661
Production,11508,Ronnie,Ritcey,F,1956-05-03,12.7288,84406
Development,11509,Aleksander,Feldhoffer,M,1954-06-18,13.1452,58164
Finance,11513,Otmar,Mahnke,M,1954-07-16,14.7753,95460
Sales,11515,Ulf,Basawa,F,1955-03-03,14.8521,71351
"Human Resources",11518,Jinxi,Oxman,M,1953-07-21,15.5068,53958
Sales,11519,Halsur,Chinen,F,1954-11-26,11.1507,66229
Development,11524,Xiadong,Standera,M,1955-10-26,12.2877,45054
Marketing,11527,Alagu,Boyle,M,1952-02-06,12.5041,60212
Production,11528,Zito,Dolinsky,M,1955-04-26,13.5562,64106
Sales,11530,Oscar,Jarecki,M,1956-11-14,15.5699,69749
Production,11531,Radhika,Motley,M,1952-09-08,10.8493,64586
Development,11533,Vitaly,Lorch,M,1953-10-30,9.3726,54711
Sales,11535,Aemilian,Ohori,F,1956-11-08,12.4877,64204
Sales,11537,DAIDA,Pehl,M,1955-06-29,14.4986,119949
Marketing,11554,Subhash,Taubenfeld,M,1955-05-28,12.2137,92958
"Human Resources",11555,Kotesh,Perfilyeva,M,1955-08-05,14.2247,58989
Research,11560,Terresa,Birta,F,1957-01-22,11.9041,67738
Sales,11567,Teiji,Mitzlaff,M,1954-07-06,12.9178,104696
Development,11568,Martins,Fujisaki,M,1955-12-01,13.4384,68232
Development,11573,Pranas,Hutton,F,1952-12-18,10.9123,61857
Development,11575,Godehard,Plotkin,F,1955-02-22,9.0411,59480
Production,11578,Edwin,Rosti,F,1953-12-22,15.1178,76205
Production,11580,Chanjung,Tanemo,M,1956-04-05,15.4986,76288
Development,11584,Pradeep,Waymire,F,1956-03-20,15.5425,72468
Development,11587,Shem,Zambonelli,M,1954-07-04,11.6959,57424
Development,11592,Hilary,Nishimukai,M,1956-09-21,9.0548,58155
Finance,11603,Herb,Swen,F,1954-12-07,15.7288,86676
Production,11607,Tomokazu,Foong,F,1953-12-03,13.3123,60744
